symmetric_ratio,mean_asymmetry,max_asymmetry,instance_type,mutation_type,city_size,distribution,generation_type,range,iteration,generation,optimal_cost
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,1.2,471169,7,355.0
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,2.6,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.6,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,2.2,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.2,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,5.0,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,5.0,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,2.8,786979,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.8,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.8,786979,1,435.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.8,807640,2,431.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.8,1084874,4,428.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.8,5204835,7,377.0
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,3.4,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,3.4,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,3.0,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,3.0,0,0,
1.0,0.0,0.0,initial,swap,20,lognormal,euclidean,1.6,8017,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,1.6,0,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,1.6,8017,1,255.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,1.6,13015,3,255.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,1.6,22047,13,255.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,1.6,26629,22,254.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,1.6,30074,31,254.0
1.0,0.0,0.0,initial,scramble,20,lognormal,euclidean,0.2,0,0,
1.0,0.0,0.0,hardest,scramble,20,lognormal,euclidean,0.2,0,0,
1.0,0.0,0.0,initial,scramble,20,lognormal,euclidean,4.6,0,0,
1.0,0.0,0.0,hardest,scramble,20,lognormal,euclidean,4.6,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,0.6,802,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,802,1,253.0
