config,final_hardness,hardness_improvement,trajectory_length,plateau_ratio,improvement_rate,volatility
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 70.0}",10709,9319,52,0.0,"{'slope': 11.387479712573535, 'r_squared': 0.9291472759179176}",480.6110929676752
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 75.0}",55764,55394,95,0.0,"{'slope': 57.80704049441189, 'r_squared': 0.9380383348734769}",1250.709159090862
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 80.0}",13699,13595,71,0.0,"{'slope': 16.54250905243768, 'r_squared': 0.9041009125374908}",317.47845339069374
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 85.0}",15361,14873,62,0.0,"{'slope': 12.048782903504751, 'r_squared': 0.7508670111279316}",518.5327821559446
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 90.0}",40365,39699,71,0.0,"{'slope': 40.68993594056188, 'r_squared': 0.9831543523589126}",1002.2734574303502
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 95.0}",14477,14238,65,0.0,"{'slope': 13.978522308697567, 'r_squared': 0.9077651806253054}",449.7042420007148
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 30, 'range': 100.0}",7902,7774,98,0.0,"{'slope': 9.017226621471396, 'r_squared': 0.916816083174761}",180.1158842140261
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 0.2}",1770862,1707123,17,0.0,"{'slope': 14715.14102261949, 'r_squared': 0.8643911280501122}",131085.37824029935
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 0.4}",15721,15610,34,0.0,"{'slope': 18.75187656627847, 'r_squared': 0.7681412147542701}",1397.80814318072
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 0.6}",11258,11008,45,0.0,"{'slope': 14.79750891441227, 'r_squared': 0.9144514416433625}",714.0252183198393
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 0.8}",86290,86061,94,0.0,"{'slope': 69.22871128718309, 'r_squared': 0.8379681713262935}",4706.282803726388
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.0}",922,813,12,0.0,"{'slope': 2.8899463221516224, 'r_squared': 0.4963437670159202}",97.16383029376402
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.2}",21075,2074,4,0.0,"{'slope': 422.2857142857143, 'r_squared': 0.49716288490862337}",916.1096489443219
