Generation,Iterations,Configuration
372,765,uniform_asymmetric_wouter_30
373,765,uniform_asymmetric_wouter_30
374,765,uniform_asymmetric_wouter_30
375,765,uniform_asymmetric_wouter_30
376,764,uniform_asymmetric_wouter_30
377,764,uniform_asymmetric_wouter_30
378,764,uniform_asymmetric_wouter_30
379,1418,uniform_asymmetric_wouter_30
380,1418,uniform_asymmetric_wouter_30
381,1418,uniform_asymmetric_wouter_30
382,1418,uniform_asymmetric_wouter_30
383,1418,uniform_asymmetric_wouter_30
384,1332,uniform_asymmetric_wouter_30
385,1332,uniform_asymmetric_wouter_30
386,1332,uniform_asymmetric_wouter_30
387,1332,uniform_asymmetric_wouter_30
388,1332,uniform_asymmetric_wouter_30
389,1332,uniform_asymmetric_wouter_30
390,1112,uniform_asymmetric_wouter_30
391,1117,uniform_asymmetric_wouter_30
392,1117,uniform_asymmetric_wouter_30
393,1117,uniform_asymmetric_wouter_30
394,1117,uniform_asymmetric_wouter_30
395,1118,uniform_asymmetric_wouter_30
396,1118,uniform_asymmetric_wouter_30
397,1118,uniform_asymmetric_wouter_30
398,1118,uniform_asymmetric_wouter_30
399,1116,uniform_asymmetric_wouter_30
400,1116,uniform_asymmetric_wouter_30
401,1275,uniform_asymmetric_wouter_30
402,1275,uniform_asymmetric_wouter_30
403,1275,uniform_asymmetric_wouter_30
404,1275,uniform_asymmetric_wouter_30
405,1275,uniform_asymmetric_wouter_30
406,1275,uniform_asymmetric_wouter_30
407,1275,uniform_asymmetric_wouter_30
408,1279,uniform_asymmetric_wouter_30
409,1279,uniform_asymmetric_wouter_30
410,1279,uniform_asymmetric_wouter_30
411,847,uniform_asymmetric_wouter_30
412,847,uniform_asymmetric_wouter_30
413,847,uniform_asymmetric_wouter_30
414,819,uniform_asymmetric_wouter_30
415,819,uniform_asymmetric_wouter_30
416,819,uniform_asymmetric_wouter_30
417,819,uniform_asymmetric_wouter_30
418,819,uniform_asymmetric_wouter_30
419,581,uniform_asymmetric_wouter_30
420,581,uniform_asymmetric_wouter_30
421,594,uniform_asymmetric_wouter_30
422,594,uniform_asymmetric_wouter_30
423,594,uniform_asymmetric_wouter_30
424,594,uniform_asymmetric_wouter_30
425,979,uniform_asymmetric_wouter_30
426,979,uniform_asymmetric_wouter_30
427,979,uniform_asymmetric_wouter_30
428,979,uniform_asymmetric_wouter_30
429,978,uniform_asymmetric_wouter_30
430,2205,uniform_asymmetric_wouter_30
431,2207,uniform_asymmetric_wouter_30
432,2207,uniform_asymmetric_wouter_30
433,2207,uniform_asymmetric_wouter_30
434,2207,uniform_asymmetric_wouter_30
435,2520,uniform_asymmetric_wouter_30
436,2520,uniform_asymmetric_wouter_30
437,2521,uniform_asymmetric_wouter_30
438,2521,uniform_asymmetric_wouter_30
439,2521,uniform_asymmetric_wouter_30
440,2521,uniform_asymmetric_wouter_30
441,2521,uniform_asymmetric_wouter_30
442,2521,uniform_asymmetric_wouter_30
443,1911,uniform_asymmetric_wouter_30
444,1911,uniform_asymmetric_wouter_30
445,1911,uniform_asymmetric_wouter_30
446,1911,uniform_asymmetric_wouter_30
