Generation,Iterations,Configuration
497,362,uniform_euclidean_wouter_20
498,349,uniform_euclidean_wouter_20
499,798,uniform_euclidean_wouter_20
500,822,uniform_euclidean_wouter_20
501,822,uniform_euclidean_wouter_20
502,822,uniform_euclidean_wouter_20
503,827,uniform_euclidean_wouter_20
504,626,uniform_euclidean_wouter_20
505,852,uniform_euclidean_wouter_20
506,844,uniform_euclidean_wouter_20
507,438,uniform_euclidean_wouter_20
508,580,uniform_euclidean_wouter_20
509,640,uniform_euclidean_wouter_20
510,640,uniform_euclidean_wouter_20
511,1566,uniform_euclidean_wouter_20
512,1906,uniform_euclidean_wouter_20
513,1906,uniform_euclidean_wouter_20
514,2010,uniform_euclidean_wouter_20
515,2010,uniform_euclidean_wouter_20
516,1906,uniform_euclidean_wouter_20
517,1906,uniform_euclidean_wouter_20
518,496,uniform_euclidean_wouter_20
519,368,uniform_euclidean_wouter_20
520,407,uniform_euclidean_wouter_20
521,407,uniform_euclidean_wouter_20
522,953,uniform_euclidean_wouter_20
523,933,uniform_euclidean_wouter_20
524,933,uniform_euclidean_wouter_20
525,946,uniform_euclidean_wouter_20
526,937,uniform_euclidean_wouter_20
527,937,uniform_euclidean_wouter_20
528,969,uniform_euclidean_wouter_20
529,968,uniform_euclidean_wouter_20
530,968,uniform_euclidean_wouter_20
531,1234,uniform_euclidean_wouter_20
532,1234,uniform_euclidean_wouter_20
533,891,uniform_euclidean_wouter_20
534,377,uniform_euclidean_wouter_20
535,795,uniform_euclidean_wouter_20
536,1114,uniform_euclidean_wouter_20
537,1147,uniform_euclidean_wouter_20
538,1165,uniform_euclidean_wouter_20
539,1165,uniform_euclidean_wouter_20
540,898,uniform_euclidean_wouter_20
541,898,uniform_euclidean_wouter_20
542,898,uniform_euclidean_wouter_20
543,1741,uniform_euclidean_wouter_20
544,1861,uniform_euclidean_wouter_20
545,1861,uniform_euclidean_wouter_20
546,1861,uniform_euclidean_wouter_20
547,1509,uniform_euclidean_wouter_20
548,779,uniform_euclidean_wouter_20
549,779,uniform_euclidean_wouter_20
550,779,uniform_euclidean_wouter_20
551,784,uniform_euclidean_wouter_20
552,784,uniform_euclidean_wouter_20
553,698,uniform_euclidean_wouter_20
554,698,uniform_euclidean_wouter_20
555,560,uniform_euclidean_wouter_20
556,560,uniform_euclidean_wouter_20
557,560,uniform_euclidean_wouter_20
558,559,uniform_euclidean_wouter_20
559,559,uniform_euclidean_wouter_20
560,617,uniform_euclidean_wouter_20
561,617,uniform_euclidean_wouter_20
562,546,uniform_euclidean_wouter_20
563,748,uniform_euclidean_wouter_20
564,648,uniform_euclidean_wouter_20
565,619,uniform_euclidean_wouter_20
566,619,uniform_euclidean_wouter_20
567,808,uniform_euclidean_wouter_20
568,847,uniform_euclidean_wouter_20
569,847,uniform_euclidean_wouter_20
570,703,uniform_euclidean_wouter_20
571,703,uniform_euclidean_wouter_20
572,701,uniform_euclidean_wouter_20
573,675,uniform_euclidean_wouter_20
574,675,uniform_euclidean_wouter_20
575,753,uniform_euclidean_wouter_20
576,753,uniform_euclidean_wouter_20
577,693,uniform_euclidean_wouter_20
578,693,uniform_euclidean_wouter_20
579,439,uniform_euclidean_wouter_20
580,439,uniform_euclidean_wouter_20
581,317,uniform_euclidean_wouter_20
582,317,uniform_euclidean_wouter_20
583,317,uniform_euclidean_wouter_20
584,302,uniform_euclidean_wouter_20
585,255,uniform_euclidean_wouter_20
586,258,uniform_euclidean_wouter_20
587,258,uniform_euclidean_wouter_20
588,260,uniform_euclidean_wouter_20
