generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
15,388101,388101,207.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,12.869020894009182,1.0000000000000002,9
35,730014,730014,207.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,13.50081899102287,1.0000000000000002,9
40,1120125,1120125,207.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,13.928950844186522,1.0000000000000002,9
56,2004185,2004185,207.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,14.510748052295353,1.0000000000000002,9
74,3211254,3211254,207.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,14.98217207302632,1.0000000000000002,9
94,3864380,3864380,42.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,15.167311813164423,1.0000000000000002,9
97,4565369,4565369,42.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,15.334009901165034,1.0000000000000002,9
102,5304050,5304050,42.0,../data/Continuation/lognormal_euclidean/city20_range2.4_swap.json,swap,euclidean,lognormal,20,2.4,0.04736842105263158,15.483981237651065,1.0000000000000002,9
1,73383,73383,329.0,../data/Continuation/lognormal_euclidean/city30_range1.0_scramble.json,scramble,euclidean,lognormal,30,1.0,0.022988505747126436,11.203447580148003,0.9999999999999999,10
23,701842,701842,297.0,../data/Continuation/lognormal_euclidean/city30_range1.0_scramble.json,scramble,euclidean,lognormal,30,1.0,0.022988505747126436,13.461463586450549,1.0000000000000002,10
1,340988,340988,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.08275862068965517,12.739602565030617,1.0000000000000002,36
30,341603,341603,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.08505747126436781,12.741404523059396,1.0000000000000002,37
32,341691,341691,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.08735632183908046,12.741662098862745,1.0000000000000002,38
52,346826,346826,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.0896551724137931,12.756578492243266,1.0000000000000002,39
54,369441,369441,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.09195402298850575,12.819746331384142,1.0000000000000002,40
62,369466,369466,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.09425287356321839,12.819813998898482,1.0000000000000002,41
68,371646,371646,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.09655172413793103,12.825697067281046,1.0000000000000002,42
77,447549,447549,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.09885057471264368,13.011541307909372,1.0000000000000002,43
80,447698,447698,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.10114942528735632,13.011874176941886,1.0000000000000002,44
88,450006,450006,398.0,../data/Continuation/lognormal_euclidean/city30_range2.2_wouter.json,inplace,euclidean,lognormal,30,2.2,0.10344827586206896,13.01701619499095,1.0000000000000002,45
1,178505,178505,374.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,12.092371891014011,1.0000000000000002,8
2,182766,182766,373.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,12.115961925079228,0.9999999999999998,8
9,240783,240783,373.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,12.391651391918007,0.9999999999999998,8
11,292436,292436,373.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,12.586001118294288,0.9999999999999998,8
25,336536,336536,373.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,12.726460405999854,0.9999999999999998,8
54,363052,363052,199.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,12.802301353676295,0.9999999999999998,8
