file,floatingpoint/integer,iterations,optimal tour,optimal tour length
48cities_avg10_std08_1,floatingpoint,7846,[(43 4) (14 37) (33 32) (44 41) (47 35) (42 19) (10 12) (20 14) (0 34) (39 0) (46 5) (21 33) (18 13) (15 9) (7 42) (24 21) (12 1) (37 23) (13 6) (36 40) (3 2) (38 30) (27 17) (9 46) (31 29) (11 43) (40 47) (8 25) (34 28) (4 24) (35 31) (41 16) (29 26) (45 3) (5 27) (16 10) (30 11) (2 8) (23 36) (28 15) (25 39) (22 44) (1 20) (32 7) (26 38) (17 18) (6 22) (19 45)],81.7586672559649
48cities_avg10_std08_10,integer,7241,[(33 39) (31 15) (47 31) (9 14) (34 29) (29 43) (16 46) (15 25) (44 32) (46 22) (36 4) (12 17) (5 0) (43 7) (42 23) (45 2) (41 10) (11 9) (1 18) (35 38) (32 35) (38 20) (6 13) (20 30) (10 45) (40 8) (27 36) (19 24) (7 27) (30 6) (37 3) (28 41) (24 5) (4 12) (22 37) (8 16) (21 28) (18 11) (17 47) (14 40) (13 34) (3 44) (2 42) (0 21) (25 26) (23 1) (26 33) (39 19)],76.0
48cities_avg10_std08_10,floatingpoint,44555,[(15 34) (13 17) (41 10) (0 31) (29 21) (5 4) (36 25) (47 30) (20 37) (22 12) (4 0) (45 38) (35 18) (39 19) (18 11) (8 16) (16 46) (42 45) (11 9) (43 23) (10 7) (3 44) (46 28) (21 15) (30 6) (44 32) (27 36) (1 29) (28 41) (12 2) (9 14) (31 43) (17 47) (24 5) (26 33) (33 39) (34 22) (7 27) (32 35) (40 8) (19 24) (14 40) (2 42) (23 1) (37 3) (25 26) (6 20) (38 13)],78.61500105982081
48cities_avg10_std08_5,integer,2959,[(8 38) (44 39) (41 21) (11 42) (15 17) (4 46) (19 28) (45 25) (6 23) (16 45) (35 8) (12 19) (0 5) (43 35) (42 13) (40 2) (26 40) (30 34) (21 14) (38 9) (36 6) (47 27) (34 43) (28 36) (32 41) (31 29) (20 10) (27 32) (3 30) (37 44) (33 1) (29 12) (25 22) (24 7) (23 4) (22 3) (18 24) (17 31) (13 37) (10 16) (5 18) (9 15) (7 11) (2 47) (39 26) (1 0) (14 20) (46 33)],74.0
48cities_avg10_std08_5,floatingpoint,132398,[(34 45) (5 2) (0 5) (42 0) (12 19) (18 24) (22 3) (38 33) (46 20) (1 46) (14 32) (28 36) (45 25) (36 11) (40 13) (30 29) (19 14) (15 28) (44 6) (8 39) (17 31) (27 12) (20 10) (4 17) (39 26) (9 15) (3 30) (26 34) (41 40) (11 42) (21 9) (31 37) (13 38) (29 44) (47 27) (32 18) (10 16) (2 47) (33 1) (24 41) (25 22) (37 7) (6 21) (16 23) (23 4) (43 35) (7 43) (35 8)],76.2539439149127
48cities_avg10_std08_36,integer,985,[(25 6) (22 42) (41 16) (39 33) (13 5) (10 30) (35 21) (43 18) (44 38) (28 32) (9 12) (27 22) (21 37) (16 25) (8 35) (45 19) (26 2) (37 24) (24 23) (34 10) (20 26) (7 46) (33 34) (2 8) (46 20) (32 11) (14 3) (19 41) (17 13) (0 4) (31 0) (42 15) (36 47) (29 9) (23 29) (18 14) (30 45) (15 17) (12 39) (11 7) (6 40) (5 31) (1 44) (47 27) (4 28) (3 1) (38 36) (40 43)],70.0
48cities_avg10_std08_36,floatingpoint,5998,[(39 33) (22 42) (13 5) (3 39) (11 20) (44 7) (35 38) (41 16) (7 34) (8 35) (16 26) (43 18) (33 21) (32 11) (28 32) (12 23) (0 12) (38 36) (9 25) (10 30) (34 46) (24 10) (6 40) (46 3) (26 2) (15 17) (37 24) (27 22) (36 47) (18 14) (17 4) (30 45) (42 15) (21 37) (1 44) (23 29) (20 13) (4 28) (5 31) (45 19) (25 6) (31 0) (14 41) (40 43) (47 27) (19 9) (2 8) (29 1)],71.13699350375785
48cities_avg10_std08_43,integer,26321,[(9 47) (14 2) (21 41) (42 44) (38 16) (44 13) (31 7) (41 27) (25 20) (12 0) (37 36) (13 6) (11 43) (36 34) (17 12) (35 31) (40 25) (24 11) (0 37) (28 17) (34 14) (26 35) (23 32) (43 3) (4 38) (30 42) (22 8) (45 5) (32 21) (15 1) (7 15) (6 26) (1 4) (19 33) (39 22) (27 30) (5 18) (18 29) (16 9) (10 28) (8 40) (3 10) (20 24) (2 23) (33 45) (29 39) (46 19) (47 46)],70.0
48cities_avg10_std08_43,floatingpoint,5705,[(11 17) (17 12) (13 6) (35 31) (0 37) (31 18) (44 7) (28 16) (42 44) (38 23) (12 0) (14 2) (3 10) (40 25) (5 29) (24 11) (6 26) (7 15) (4 32) (15 1) (32 21) (29 39) (43 3) (2 38) (41 27) (8 40) (16 9) (21 13) (23 46) (39 22) (27 30) (20 24) (26 35) (19 41) (47 19) (46 47) (34 14) (30 42) (22 8) (25 20) (45 5) (37 36) (33 45) (1 4) (9 33) (10 28) (18 43) (36 34)],71.81589105751456
48cities_avg10_std08_39,integer,4404,[(38 42) (11 46) (18 44) (23 43) (20 10) (13 40) (36 26) (8 3) (25 41) (5 24) (42 12) (33 22) (30 11) (16 19) (45 16) (2 6) (40 18) (22 45) (47 17) (46 21) (44 34) (3 13) (39 15) (35 2) (34 30) (31 35) (27 39) (26 1) (21 47) (19 9) (24 33) (1 27) (17 29) (15 8) (12 36) (9 32) (7 0) (37 4) (0 31) (41 38) (32 23) (29 20) (14 25) (10 28) (6 37) (4 14) (28 5) (43 7)],66.0
