violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio,configuration,iteration,generation,optimal_cost
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.6, 'mutation_type': 'swap'}",26629,22,254.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.6, 'mutation_type': 'swap'}",30074,31,254.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",802,1,253.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",1496,4,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",17279,8,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",45830,16,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",58114,19,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",78608,23,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",179416,24,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",179811,29,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",181487,35,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",185593,36,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",464804,37,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",572498,39,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",592077,45,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",592900,51,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",967309,52,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",970666,58,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.6, 'mutation_type': 'swap'}",1063224,62,251.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'scramble'}",8578,1,303.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'scramble'}",45837,3,273.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'scramble'}",65463,5,273.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 0.8, 'mutation_type': 'scramble'}",4120345,23,277.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",36230,1,370.0
70,11402.0,162.88571428571427,0.01023391812865497,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",229670,2,207.0
70,11402.0,162.88571428571427,0.01023391812865497,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",388101,15,207.0
70,11400.0,162.85714285714286,0.01023391812865497,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",730014,35,207.0
74,11404.0,154.1081081081081,0.010818713450292398,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",1120125,40,207.0
74,11404.0,154.1081081081081,0.010818713450292398,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",2004185,56,207.0
78,11408.0,146.25641025641025,0.011403508771929825,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",3211254,74,207.0
144,22262.0,154.59722222222223,0.021052631578947368,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",3864380,94,42.0
204,32024.0,156.98039215686273,0.02982456140350877,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",4565369,97,42.0
266,40870.0,153.64661654135338,0.03888888888888889,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.4, 'mutation_type': 'swap'}",5304050,102,42.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.0, 'mutation_type': 'scramble'}",73383,1,329.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.0, 'mutation_type': 'scramble'}",701842,23,297.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",340988,1,398.0
56,21038492.0,375687.35714285716,0.0022988505747126436,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",341603,30,398.0
112,26712392.0,238503.5,0.004597701149425287,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",341691,32,398.0
168,27115874.0,161404.0119047619,0.006896551724137931,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",346826,52,398.0
224,27683022.0,123584.91964285714,0.009195402298850575,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",369441,54,398.0
280,27730082.0,99036.00714285714,0.011494252873563218,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",369466,62,398.0
336,27855982.0,82904.70833333333,0.013793103448275862,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",371646,68,398.0
392,31369036.0,80023.05102040817,0.016091954022988506,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",447549,77,398.0
448,32994678.0,73648.83482142857,0.01839080459770115,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",447698,80,398.0
502,33432548.0,66598.70119521912,0.020607553366174057,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.2, 'mutation_type': 'inplace'}",450006,88,398.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",178505,1,374.0
58,140.0,2.413793103448276,0.00847953216374269,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",182766,2,373.0
74,154.0,2.081081081081081,0.010818713450292398,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",240783,9,373.0
118,208.0,1.7627118644067796,0.017251461988304094,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",292436,11,373.0
118,210.0,1.7796610169491525,0.017251461988304094,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",336536,25,373.0
188,12430.0,66.11702127659575,0.027485380116959064,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",363052,54,199.0
