violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio
54,304.0,5.62962962962963,0.0022167487684729066
54,304.0,5.62962962962963,0.0022167487684729066
54,306.0,5.666666666666667,0.0022167487684729066
54,306.0,5.666666666666667,0.0022167487684729066
54,306.0,5.666666666666667,0.0022167487684729066
52,298.0,5.730769230769231,0.002134646962233169
52,298.0,5.730769230769231,0.002134646962233169
56,372.0,6.642857142857143,0.0022988505747126436
108,604.0,5.592592592592593,0.004433497536945813
108,604.0,5.592592592592593,0.004433497536945813
130,718.0,5.523076923076923,0.005336617405582923
130,718.0,5.523076923076923,0.005336617405582923
130,718.0,5.523076923076923,0.005336617405582923
146,776.0,5.315068493150685,0.005993431855500821
148,780.0,5.27027027027027,0.006075533661740558
152,792.0,5.2105263157894735,0.0062397372742200325
152,796.0,5.2368421052631575,0.0062397372742200325
152,796.0,5.2368421052631575,0.0062397372742200325
152,796.0,5.2368421052631575,0.0062397372742200325
152,796.0,5.2368421052631575,0.0062397372742200325
152,796.0,5.2368421052631575,0.0062397372742200325
154,826.0,5.363636363636363,0.00632183908045977
154,844.0,5.48051948051948,0.00632183908045977
152,844.0,5.552631578947368,0.0062397372742200325
152,844.0,5.552631578947368,0.0062397372742200325
0,0.0,0.0,0.0
14,24.0,1.7142857142857142,0.0005747126436781609
66,338.0,5.121212121212121,0.00270935960591133
64,320.0,5.0,0.002627257799671593
64,320.0,5.0,0.002627257799671593
120,784.0,6.533333333333333,0.0049261083743842365
128,808.0,6.3125,0.005254515599343186
128,808.0,6.3125,0.005254515599343186
128,808.0,6.3125,0.005254515599343186
164,982.0,5.987804878048781,0.006732348111658457
164,1010.0,6.158536585365853,0.006732348111658457
162,1004.0,6.197530864197531,0.006650246305418719
166,1010.0,6.0843373493975905,0.006814449917898193
218,1452.0,6.660550458715596,0.008949096880131364
270,1824.0,6.7555555555555555,0.011083743842364532
270,1824.0,6.7555555555555555,0.011083743842364532
314,2090.0,6.656050955414012,0.012889983579638753
314,2088.0,6.649681528662421,0.012889983579638753
