mutation_type,generation_type,distribution,city_size,range,mean,median,std,count,max,min
scramble,asymmetric,lognormal,30.0,2.0,4120.142857142857,1631.0,5205.8289902944825,7,14305,0
swap,asymmetric,lognormal,20.0,1.8,2055.6960784313724,1626.5,1286.6602310950232,102,4126,0
scramble,asymmetric,uniform,30.0,75.0,4931.166666666667,1626.0,6822.173155722938,6,17286,0
swap,asymmetric,lognormal,20.0,3.2,1711.0714285714287,1615.5,1034.7505327123315,98,3353,0
swap,asymmetric,lognormal,20.0,2.6,1565.142857142857,1615.0,835.4413038131639,84,3142,0
scramble,euclidean,uniform,20.0,80.0,1895.888888888889,1607.0,1187.6257243387374,9,3605,0
wouter,asymmetric,lognormal,20.0,0.6,2354.9245283018868,1602.0,1910.116165493174,106,5883,0
swap,asymmetric,uniform,20.0,15.0,1556.0337078651685,1585.0,942.8759251431253,89,2734,0
wouter,euclidean,uniform,20.0,40.0,1581.0,1581.0,2235.8716421118634,2,3162,0
scramble,euclidean,uniform,20.0,100.0,2161.181818181818,1564.0,1768.4827857902276,11,5380,0
scramble,asymmetric,lognormal,30.0,4.2,1713.7777777777778,1558.0,1623.1701834510282,9,4955,0
scramble,euclidean,uniform,20.0,10.0,2253.5,1549.0,2131.2251640781647,6,5160,0
wouter,asymmetric,lognormal,20.0,0.2,1721.3793103448277,1510.5,1056.461869146029,116,3654,0
scramble,asymmetric,uniform,30.0,45.0,2719.0,1490.0,3061.5925920997392,6,7169,0
swap,asymmetric,uniform,20.0,70.0,1372.9619047619049,1471.0,659.3800398831746,105,2276,0
swap,asymmetric,uniform,20.0,50.0,1667.9816513761468,1455.0,883.0486960865808,109,2965,0
swap,asymmetric,lognormal,20.0,0.8,1536.0887096774193,1447.5,908.9596484295207,124,3034,0
wouter,asymmetric,lognormal,20.0,4.6,1143.276595744681,1361.0,507.7969792491119,94,1819,0
swap,asymmetric,uniform,20.0,35.0,1571.616,1357.0,957.3252285876114,125,3597,0
swap,asymmetric,uniform,20.0,45.0,1356.3482142857142,1347.5,795.522251372779,112,3009,0
swap,asymmetric,lognormal,20.0,1.6,1161.1341463414635,1285.5,659.9558863333614,82,2125,0
wouter,asymmetric,uniform,20.0,55.0,1321.117117117117,1274.0,770.382947733714,111,3189,0
